id,Obesity
26023,28.4
26025,27.8
26027,23.7
26029,25.2
26031,24.0
26033,22.3
26035,
26037,25.8
26039,
26041,30.3
26043,20.7
26045,25.3
26047,
26049,26.6
26051,29.6
26053,
26055,21.7
26057,28.8
26059,33.1
26061,24.1
26063,26.6
26065,23.7
26067,23.8
26069,30.5
26071,
26073,21.5
26075,26.5
26077,20.8
26079,13.9
26081,21.5
26083,
26085,
26087,24.6
26089,18.1
26091,26.1
26093,21.3
26095,
26097,
26099,23.3
26101,
26103,22.0
26105,32.9
26107,24.6
26109,
26111,23.1
26113,
26115,26.0
26117,32.9
26119,
26121,24.9
26123,24.0
26125,21.3
26127,25.0
26129,29.8
26131,
26133,20.8
26135,
26137,
26139,19.5
26141,
26143,31.7
26145,31.8
26147,25.2
26149,35.9
26151,28.6
26153,
26155,25.8
26157,30.5
26159,23.8
26161,20.3
26163,29.2
26165,23.1
27001,
27003,24.6
27005,29.8
27007,23.1
27009,30.3
27011,
27013,23.2
27015,26.0
27017,19.9
27019,22.0
27021,26.8
27023,
27025,24.6
27027,22.5
27029,
27031,
27033,
27035,23.4
27037,21.0
27039,
27041,20.9
27043,23.4
27045,9.2
27047,24.1
27049,20.6
27051,
27053,18.2
27055,18.0
27057,29.2
27059,23.4
27061,21.4
27063,
27065,
27067,25.2
27069,
27071,20.7
27073,
27075,20.7
27077,
27079,23.3
27081,
27083,28.0
27085,25.4
27087,
27089,
27091,24.5
27093,25.5
27095,19.8
27097,24.2
27099,25.8
27101,
27103,23.5
27105,
27107,
27109,21.9
27111,23.5
27113,
27115,25.6
27117,
27119,33.2
27121,
27123,21.3
27125,
27127,13.2
27129,
27131,24.6
27133,
27135,
27137,18.5
27139,21.0
27141,24.1
27143,
27145,18.9
27147,16.3
27149,
27151,
27153,29.7
27155,
27157,
27159,
27161,15.0
27163,20.2
27165,
27167,
27169,21.5
27171,24.5
27173,
28001,28.2
28003,24.1
28005,34.5
28007,28.4
28009,
28011,34.0
28013,29.7
28015,28.9
28017,30.0
28019,21.6
28021,
28023,29.8
28025,32.7
28027,27.0
28029,35.7
28031,24.6
28033,24.6
28035,28.1
28037,
28039,31.1
28041,
28043,27.0
28045,25.1
28047,26.8
28049,26.1
28051,28.9
28053,
28055,
28057,28.4
28059,26.1
28061,28.6
28063,
28065,27.5
28067,29.9
28069,
28071,22.3
28073,29.2
28075,26.5
28077,35.5
28079,29.0
28081,25.5
28083,30.7
28085,27.1
28087,24.3
28089,25.8
28091,31.0
28093,38.6
28095,28.5
28097,31.3
28099,26.8
28101,28.3
28103,30.3
28105,21.9
28107,26.8
28109,28.1
28111,
28113,33.5
28115,29.4
28117,25.1
28119,
28121,26.9
28123,31.6
28125,
28127,27.6
28129,20.6
28131,29.0
28133,36.3
28135,
28137,27.6
28139,32.7
28141,25.1
28143,
28145,24.9
28147,32.0
28149,33.5
28151,35.7
28153,22.9
28155,
28157,
28159,38.9
28161,24.5
28163,33.6
29001,20.5
29003,26.0
29005,30.1
29007,25.2
29009,26.8
29011,
29013,27.7
29015,24.6
29017,
29019,19.8
29021,25.2
29023,36.5
29025,25.3
29027,26.8
29029,24.4
29031,24.5
29033,28.5
29035,
29037,28.9
29039,
29041,32.0
29043,21.0
29045,
29047,24.2
29049,22.7
29051,20.9
29053,25.8
29055,25.3
29057,
29059,
29061,23.1
29063,31.5
29065,29.0
29067,
29069,25.8
29071,25.6
29073,23.3
29075,26.0
29077,22.3
29079,22.2
29081,30.9
29083,
29085,16.7
29087,22.3
29089,
29091,21.2
29093,
29095,24.6
29097,25.2
29099,19.9
29101,23.8
29103,
29105,25.8
29107,29.0
29109,23.5
29111,29.3
29113,
29115,24.5
29117,28.3
29119,18.4
29121,25.8
29123,
29125,
29127,24.9
29129,
29131,23.9
29133,
29135,20.7
29137,27.0
29139,
29141,24.6
29143,23.0
29145,26.5
29147,25.9
29149,
29151,16.7
29153,
29155,30.1
29157,25.3
29159,20.3
29161,22.0
29163,24.2
29165,24.5
29167,17.2
29169,24.5
29171,
29173,24.7
29175,34.3
29177,31.9
29179,
29181,
29183,20.9
29185,
29186,
29187,30.9
29189,20.6
29195,26.3
29197,15.3
29199,
29201,27.8
29203,
29205,23.3
29207,29.4
29209,21.8
29211,
29213,21.7
29215,21.2
29217,21.6
29219,
29221,29.3
29223,20.3
29225,24.0
29227,
29229,25.7
29510,29.7
30001,20.5
30003,32.6
30005,26.5
30007,21.4
30009,17.2
30011,
30013,21.9
30015,22.7
30017,18.9
30019,
30021,22.8
30023,24.8
30025,21.0
30027,24.0
30029,14.0
30031,11.5
30033,
30035,29.9
30037,
30039,20.5
30041,24.3
30043,15.3
30045,22.5
30047,20.8
30049,20.5
30051,
30053,22.3
30055,
30057,14.5
30059,
30061,20.8
30063,15.0
30065,16.1
30067,13.7
30069,
30071,20.7
30073,27.9
30075,
30077,24.5
30079,
30081,17.3
30083,21.6
30085,30.9
30087,30.9
30089,21.0
30091,23.6
30093,16.9
30095,18.8
30097,19.0
30099,19.8
30101,27.9
30103,
30105,21.9
30107,
30109,
30111,21.4
31001,24.4
31003,23.4
31005,
31007,
31009,
31011,28.8
31013,28.1
31015,
31017,
31019,24.8
31021,22.1
31023,27.3
31025,26.6
31027,25.2
31029,19.2
31031,26.1
31033,19.4
31035,24.7
31037,21.5
31039,26.1
31041,25.7
31043,26.0
31045,19.5
31047,23.0
31049,
31051,22.7
31053,25.3
31055,22.2
31057,
31059,21.1
31061,
